project_id,project_title,major,target_field,difficulty,estimated_time,skills_required,skills_learned,deliverables,resume_value_1_10,portfolio_value_1_10,verification_type,source_type,career_signal,why_this_project_is_good
P001,Public Transit Tracker CLI App (MBTA V3 API),Computer Science,Tech,Beginner,3-4 weeks,"Python basics, command line","HTTP API calls, JSON:API parsing, argparse, error handling","GitHub repo with README, working CLI tool, demo video",7,6,GitHub repo + demo video,At-home,Backend/API proof,"Hands-on beginner backend practice: fetch routes, stops, or arrival predictions from the public MBTA V3 JSON API, preserve a versioned JSON fixture for offline tests, and expose the results through a documented command-line tool with clear failure handling"
P002,Automated Scholarship Finder Web Scraper,Computer Science,Tech,Intermediate,4-6 weeks,"Python, basic HTML knowledge","BeautifulSoup, requests, CSV export, error handling","GitHub repo, exported CSV of scholarships, write-up of methodology",8,7,GitHub repo + sample output,At-home,Backend/API proof,Real utility for students — scraping a live website with structured output teaches production-level thinking early
P003,Open Source Bug Fix Contribution,Computer Science,Tech,Intermediate,4-5 weeks,"Git, one programming language","Reading codebases, GitHub PRs, code review etiquette","Merged or submitted PR link, reflection write-up",9,8,Merged GitHub PR,Third-party,Full-stack proof,A merged PR is one of the strongest verifiable signals a student can show — it proves you can work in someone else's codebase
P004,Full-Stack Budget Tracker (React + Node + Postgres),Computer Science,Tech,Intermediate,6-8 weeks,"JavaScript basics, HTML/CSS","React, Node.js, REST APIs, PostgreSQL, auth, deployment","Deployed web app, GitHub repo, demo video, architecture diagram",9,9,Live URL + GitHub repo,At-home,Full-stack proof,"An end-to-end full-stack project with deployment is a strong, inspectable SWE portfolio signal"
P005,Nonprofit Inventory Management System,Computer Science,Tech,Intermediate,5-7 weeks,"Python or JavaScript, databases","SQLite/PostgreSQL, CRUD, basic UI, requirements gathering","Working app, GitHub repo, stakeholder feedback letter",9,9,GitHub repo + testimonial,Nonprofit/community,Client-facing proof,Working with a real organization gives a stakeholder — the most credible form of project validation for any employer
P006,Personal Portfolio Website with Blog,Computer Science,Tech,Beginner,2-3 weeks,HTML/CSS basics,"Next.js or Astro, responsive design, deployment","Deployed personal site, GitHub repo, 3 blog posts",5,7,Live URL,At-home,UX/design portfolio proof,Useful as a hub for other work but weak as a standalone resume project unless paired with technical projects
P007,REST API for a Habit Tracker (Node + Express),Computer Science,Tech,Intermediate,4-5 weeks,"JavaScript basics, HTTP fundamentals","Express, JWT auth, REST design, Postman, deployment","Deployed API, GitHub repo, Postman collection, OpenAPI docs",8,8,Live API + GitHub repo,At-home,Backend/API proof,A backend-only project with auth and documentation is a common and strong SWE portfolio signal
P008,Dockerized Microservice with CI/CD,Computer Science,Tech,Intermediate,4-6 weeks,"One backend language, Git","Docker, GitHub Actions, unit testing, container deployment","GitHub repo with CI badge, deployed container, README architecture diagram",8,8,GitHub Actions log + live container,At-home,Backend/API proof,DevOps signals are rare on freshman resumes — a green CI badge and a containerized deploy is a recruiter magnet
P009,Discord Bot for a Student Club,Computer Science,Tech,Beginner,2-3 weeks,Python or JavaScript basics,"discord.py or discord.js, webhooks, command parsing","Live bot deployed for a real club, GitHub repo, usage screenshots",7,7,Live deployment + GitHub repo,On-campus,Backend/API proof,Real users + simple stack = real-world feedback most class projects never get
P010,Browser Extension for Productivity,Computer Science,Tech,Beginner,2-4 weeks,JavaScript basics,"Manifest v3, Chrome APIs, storage, packaging","Published extension on Chrome Web Store, GitHub repo, demo video",7,8,Web Store listing,At-home,Full-stack proof,"A published artifact on a public store is the cheapest way to get a shareable, verifiable launch on your resume"
P011,Real-Time Chat App with WebSockets,Computer Science,Tech,Intermediate,5-6 weeks,"JavaScript, basic backend","Socket.io or native WS, rooms, persistence, deployment","Deployed chat app, GitHub repo, demo video",8,8,Live URL + GitHub repo,At-home,Full-stack proof,WebSockets demonstrate understanding of stateful protocols that REST-only candidates lack
P012,Mobile App MVP in React Native,Computer Science,Tech,Intermediate,6-8 weeks,"JavaScript, React basics","React Native, Expo, mobile UX, App Store listing prep","TestFlight/Play Store build, GitHub repo, demo video",8,9,App build link + GitHub repo,At-home,Full-stack proof,Mobile builds are visually compelling and rare in undergrad portfolios — a working APK or TestFlight link punches above its weight
